StimType,Stimulus,ResponseType,Trial,,,Stimuli/
newneutface,Stimuli/AM228_NC.bmp,new,44,,,AM228_NC.bmp
oldneutface,Stimuli/41M_NC.bmp,old,45,,,41M_NC.bmp
oldposface,Stimuli/BF07_HO.bmp,old,46,,,BF07_HO.bmp
newposface,Stimuli/12F_HO.bmp,new,47,,,12F_HO.bmp
oldnegface,Stimuli/6F_FO.bmp,old,48,,,6F_FO.bmp
oldposface,Stimuli/AM02_HO.bmp,old,49,,,AM02_HO.bmp
newposface,Stimuli/13F_HO.bmp,new,50,,,13F_HO.bmp
newplace,Stimuli/PL_043_LEXINGTON19.bmp,new,51,,,PL_043_LEXINGTON19.bmp
newneutface,Stimuli/AM210_NC.bmp,new,52,,,AM210_NC.bmp
oldneutface,Stimuli/BF02_NC.bmp,old,53,,,BF02_NC.bmp
oldplace,Stimuli/PL_095_O65.1.bmp,old,54,,,PL_095_O65.1.bmp
newnegface,Stimuli/16F_FO.bmp,new,55,,,16F_FO.bmp
oldnegface,Stimuli/15F_FO.bmp,old,56,,,15F_FO.bmp
newplace,Stimuli/PL_046_SCENE03.bmp,new,57,,,PL_046_SCENE03.bmp
newplace,Stimuli/o89.1.bmp,new,58,,,o89.1.bmp
oldplace,Stimuli/PL_099_O81.1.bmp,old,59,,,PL_099_O81.1.bmp
oldposface,Stimuli/BF009_HO.bmp,old,60,,,BF009_HO.bmp
newneutface,Stimuli/BF201_NC.bmp,new,61,,,BF201_NC.bmp
newneutface,Stimuli/WF02_NC.bmp,new,62,,,WF02_NC.bmp
oldneutface,Stimuli/WF223_NC.bmp,old,63,,,WF223_NC.bmp
oldnegface,Stimuli/WM006_FO.bmp,old,64,,,WM006_FO.bmp
newposface,Stimuli/WM01_HO.bmp,new,65,,,WM01_HO.bmp
newnegface,Stimuli/WM003_FO.bmp,new,66,,,WM003_FO.bmp
oldplace,Stimuli/PL_091_O5.1.bmp,old,67,,,PL_091_O5.1.bmp
oldnegface,Stimuli/WF04_FO.bmp,old,68,,,WF04_FO.bmp
oldposface,Stimuli/BM009_HO.bmp,old,69,,,BM009_HO.bmp
newnegface,Stimuli/BF10_FO.bmp,new,70,,,BF10_FO.bmp
oldneutface,Stimuli/27M_NC.bmp,old,71,,,27M_NC.bmp
newplace,Stimuli/PL_048_SCENE05.bmp,new,72,,,PL_048_SCENE05.bmp
oldplace,Stimuli/PL_094_O6.1.bmp,old,73,,,PL_094_O6.1.bmp
newposface,Stimuli/BF016_HO.bmp,new,74,,,BF016_HO.bmp
newposface,Stimuli/BM06_HO.bmp,new,75,,,BM06_HO.bmp
oldposface,Stimuli/36M_HO.bmp,old,76,,,36M_HO.bmp
oldneutface,Stimuli/AM204_NC.bmp,old,77,,,AM204_NC.bmp
oldneutface,Stimuli/BF03_NC.bmp,old,78,,,BF03_NC.bmp
newneutface,Stimuli/BM04_NC.bmp,new,79,,,BM04_NC.bmp
newnegface,Stimuli/AM05_FO.bmp,new,80,,,AM05_FO.bmp
newnegface,Stimuli/5F_FO.bmp,new,81,,,5F_FO.bmp
newplace,Stimuli/PL_045_SCENE02.bmp,new,82,,,PL_045_SCENE02.bmp
oldnegface,Stimuli/38M_FO.bmp,old,83,,,38M_FO.bmp
newneutface,Stimuli/AF235_NC.bmp,new,84,,,AF235_NC.bmp
oldposface,Stimuli/HF05_HO.bmp,old,85,,,HF05_HO.bmp
newposface,Stimuli/20M_HO.bmp,new,86,,,20M_HO.bmp
oldnegface,Stimuli/AF01_FO.bmp,old,87,,,AF01_FO.bmp
oldplace,Stimuli/PL_092_O50.1.bmp,old,88,,,PL_092_O50.1.bmp
newplace,Stimuli/PL_040_LEXINGTON16.bmp,new,89,,,PL_040_LEXINGTON16.bmp
oldposface,Stimuli/WF05_HO.bmp,old,90,,,WF05_HO.bmp
oldneutface,Stimuli/LM242_NC.bmp,old,91,,,LM242_NC.bmp
newposface,Stimuli/HF02_HO.bmp,new,92,,,HF02_HO.bmp
oldnegface,Stimuli/40M_FO.bmp,old,93,,,40M_FO.bmp
oldplace,Stimuli/PL_073_P53.1.bmp,old,94,,,PL_073_P53.1.bmp
newneutface,Stimuli/LM211_NC.bmp,new,95,,,LM211_NC.bmp
newnegface,Stimuli/43M_FO.bmp,new,96,,,43M_FO.bmp
