StimType,Stimulus,ResponseType,Trial,,,Stimuli/
newposface,Stimuli/32M_HO.bmp,new,45,,,32M_HO.bmp
newneutface,Stimuli/AM04_NC.bmp,new,46,,,AM04_NC.bmp
newnegface,Stimuli/AM05_FO.bmp,new,47,,,AM05_FO.bmp
oldnegface,Stimuli/HM03_FO.bmp,old,48,,,HM03_FO.bmp
oldposface,Stimuli/HM01_HO.bmp,old,49,,,HM01_HO.bmp
oldplace,Stimuli/PL_053_SCENE15.bmp,old,50,,,PL_053_SCENE15.bmp
newneutface,Stimuli/WF223_NC.bmp,new,51,,,WF223_NC.bmp
newneutface,Stimuli/BF02_NC.bmp,new,52,,,BF02_NC.bmp
newplace,Stimuli/PL_095_O65.1.bmp,new,53,,,PL_095_O65.1.bmp
oldnegface,Stimuli/WF015_FO.bmp,old,54,,,WF015_FO.bmp
newposface,Stimuli/AM02_HO.bmp,new,55,,,AM02_HO.bmp
oldneutface,Stimuli/AF219_NC.bmp,old,56,,,AF219_NC.bmp
newnegface,Stimuli/15F_FO.bmp,new,57,,,15F_FO.bmp
newplace,Stimuli/PL_099_O81.1.bmp,new,58,,,PL_099_O81.1.bmp
oldplace,Stimuli/PL_051_SCENE08.bmp,old,59,,,PL_051_SCENE08.bmp
oldposface,Stimuli/18F_HO.bmp,old,60,,,18F_HO.bmp
newnegface,Stimuli/WM006_FO.bmp,new,61,,,WM006_FO.bmp
oldnegface,Stimuli/37M_FO.bmp,old,62,,,37M_FO.bmp
newposface,Stimuli/BF009_HO.bmp,new,63,,,BF009_HO.bmp
oldneutface,Stimuli/21M_NC.bmp,old,64,,,21M_NC.bmp
oldplace,Stimuli/PL_061_TUFTS11BW.bmp,old,65,,,PL_061_TUFTS11BW.bmp
newplace,Stimuli/PL_091_O5.1.bmp,new,66,,,PL_091_O5.1.bmp
oldnegface,Stimuli/AF03_FO.bmp,old,67,,,AF03_FO.bmp
newnegface,Stimuli/WF04_FO.bmp,new,68,,,WF04_FO.bmp
oldneutface,Stimuli/AM245_NC.bmp,old,69,,,AM245_NC.bmp
oldposface,Stimuli/HF03_HO.bmp,old,70,,,HF03_HO.bmp
newposface,Stimuli/BM009_HO.bmp,new,71,,,BM009_HO.bmp
newneutface,Stimuli/27M_NC.bmp,new,72,,,27M_NC.bmp
oldneutface,Stimuli/WF01_NC.bmp,old,73,,,WF01_NC.bmp
newplace,Stimuli/PL_094_O6.1.bmp,new,74,,,PL_094_O6.1.bmp
oldposface,Stimuli/BM002_HO.bmp,old,75,,,BM002_HO.bmp
newposface,Stimuli/36M_HO.bmp,new,76,,,36M_HO.bmp
newneutface,Stimuli/BF03_NC.bmp,new,77,,,BF03_NC.bmp
oldnegface,Stimuli/OM01_FO.bmp,old,78,,,OM01_FO.bmp
oldplace,Stimuli/PL_060_TUFTS10BW.bmp,old,79,,,PL_060_TUFTS10BW.bmp
newnegface,Stimuli/38M_FO.bmp,new,80,,,38M_FO.bmp
oldposface,Stimuli/BF005_HO.bmp,old,81,,,BF005_HO.bmp
oldnegface,Stimuli/BF04_FO.bmp,old,82,,,BF04_FO.bmp
newneutface,Stimuli/AM204_NC.bmp,new,83,,,AM204_NC.bmp
oldneutface,Stimuli/AF219_NC.bmp,old,84,,,AF219_NC.bmp
newplace,Stimuli/PL_092_O50.1.bmp,new,85,,,PL_092_O50.1.bmp
newposface,Stimuli/HF05_HO.bmp,new,86,,,HF05_HO.bmp
oldplace,Stimuli/PL_058_TUFTS07BW.bmp,old,87,,,PL_058_TUFTS07BW.bmp
newnegface,Stimuli/40M_FO.bmp,new,88,,,40M_FO.bmp
newnegface,Stimuli/AF01_FO.bmp,new,89,,,AF01_FO.bmp
oldposface,Stimuli/AM01_HO.bmp,old,90,,,AM01_HO.bmp
newplace,Stimuli/PL_073_P53.1.bmp,new,91,,,PL_073_P53.1.bmp
newposface,Stimuli/WF05_HO.bmp,new,92,,,WF05_HO.bmp
oldplace,Stimuli/PL_056_TUFTS02BW.bmp,old,93,,,PL_056_TUFTS02BW.bmp
oldnegface,Stimuli/WM033_FO.bmp,old,94,,,WM033_FO.bmp
newneutface,Stimuli/LM242_NC.bmp,new,95,,,LM242_NC.bmp
oldneutface,Stimuli/LM216_NC.bmp,old,96,,,LM216_NC.bmp
