StimType,Stimulus,ResponseType,Trial,,,Stimuli/
oldnegface,Stimuli/16F_FO.bmp,old,45,,,16F_FO.bmp
newnegface,Stimuli/10F_FO.bmp,new,46,,,10F_FO.bmp
oldplace,Stimuli/PL_043_LEXINGTON19.bmp,old,47,,,PL_043_LEXINGTON19.bmp
oldposface,Stimuli/13F_HO.bmp,old,48,,,13F_HO.bmp
newplace,Stimuli/PL_060_TUFTS10BW.bmp,new,49,,,PL_060_TUFTS10BW.bmp
newplace,Stimuli/PL_056_TUFTS02BW.bmp,new,50,,,PL_056_TUFTS02BW.bmp
oldneutface,Stimuli/BF03_NC.bmp,old,51,,,BF03_NC.bmp
newnegface,Stimuli/6F_FO.bmp,new,52,,,6F_FO.bmp
oldnegface,Stimuli/BF05_FO.bmp,old,53,,,BF05_FO.bmp
oldposface,Stimuli/BM01_HO.bmp,old,54,,,BM01_HO.bmp
newneutface,Stimuli/41M_NC.bmp,new,55,,,41M_NC.bmp
oldplace,Stimuli/PL_094_O6.1.bmp,old,56,,,PL_094_O6.1.bmp
newposface,Stimuli/BF07_HO.bmp,new,57,,,BF07_HO.bmp
newneutface,Stimuli/8F_NC.bmp,new,58,,,8F_NC.bmp
oldposface,Stimuli/31M_HO.bmp,old,59,,,31M_HO.bmp
oldnegface,Stimuli/38M_FO.bmp,old,60,,,38M_FO.bmp
oldnegface,Stimuli/AF01_FO.bmp,old,61,,,AF01_FO.bmp
newplace,Stimuli/PL_061_TUFTS11BW.bmp,new,62,,,PL_061_TUFTS11BW.bmp
oldplace,Stimuli/PL_091_O5.1.bmp,old,63,,,PL_091_O5.1.bmp
newnegface,Stimuli/WM033_FO.bmp,new,64,,,WM033_FO.bmp
newneutface,Stimuli/AF219_NC.bmp,new,65,,,AF219_NC.bmp
oldneutface,Stimuli/AM204_NC.bmp,old,66,,,AM204_NC.bmp
newposface,Stimuli/HF03_HO.bmp,new,67,,,HF03_HO.bmp
oldposface,Stimuli/2F_HO.bmp,old,68,,,2F_HO.bmp
oldplace,Stimuli/PL_093_O57.1.bmp,old,69,,,PL_093_O57.1.bmp
newposface,Stimuli/AM01_HO.bmp,new,70,,,AM01_HO.bmp
newnegface,Stimuli/37M_FO.bmp,new,71,,,37M_FO.bmp
oldneutface,Stimuli/LM242_NC.bmp,old,72,,,LM242_NC.bmp
newplace,Stimuli/PL_057_TUFTS06BW.bmp,new,73,,,PL_057_TUFTS06BW.bmp
oldposface,Stimuli/BF009_HO.bmp,old,74,,,BF009_HO.bmp
newposface,Stimuli/18F_HO.bmp,new,75,,,18F_HO.bmp
oldnegface,Stimuli/WM03_FO.bmp,old,76,,,WM03_FO.bmp
newnegface,Stimuli/WF015_FO.bmp,new,77,,,WF015_FO.bmp
oldneutface,Stimuli/30M_NC.bmp,old,78,,,30M_NC.bmp
newneutface,Stimuli/BM07_NC.bmp,new,79,,,BM07_NC.bmp
oldplace,Stimuli/PL_100_O82.1.bmp,old,80,,,PL_100_O82.1.bmp
newneutface,Stimuli/AF225_NC.bmp,new,81,,,AF225_NC.bmp
newplace,Stimuli/PL_053_SCENE15.bmp,new,82,,,PL_053_SCENE15.bmp
newposface,Stimuli/22M_HO.bmp,new,83,,,22M_HO.bmp
oldplace,Stimuli/PL_096_O69.1.bmp,old,84,,,PL_096_O69.1.bmp
oldposface,Stimuli/AM02_HO.bmp,old,85,,,AM02_HO.bmp
oldneutface,Stimuli/AF201_NC.bmp,old,86,,,AF201_NC.bmp
oldneutface,Stimuli/LF207_NC.bmp,old,87,,,LF207_NC.bmp
newnegface,Stimuli/AM03_FO.bmp,new,88,,,AM03_FO.bmp
newplace,Stimuli/PL_051_SCENE08.bmp,new,89,,,PL_051_SCENE08.bmp
oldnegface,Stimuli/BM028_FO.bmp,old,90,,,BM028_FO.bmp
newposface,Stimuli/HM01_HO.bmp,new,91,,,HM01_HO.bmp
oldnegface,Stimuli/15F_FO.bmp,old,92,,,15F_FO.bmp
newnegface,Stimuli/BF023_FO.bmp,new,93,,,BF023_FO.bmp
oldplace,Stimuli/PL_090_O47.1.bmp,old,94,,,PL_090_O47.1.bmp
newneutface,Stimuli/LM213_NC.bmp,new,95,,,LM213_NC.bmp
oldposface,Stimuli/BF018_HO.bmp,old,96,,,BF018_HO.bmp
